"TOA5","Site5_Middletown_Plaza","CR200X","25254","CR200X.Std.04","CR200X_12_25_rev2.CR2","19761","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2019-05-24 00:00:00",617,12.39767
"2019-05-25 00:00:00",618,12.30449
"2019-05-26 00:00:00",619,12.46231
"2019-05-27 00:00:00",620,12.31709
"2019-05-28 00:00:00",621,12.30198
"2019-05-29 00:00:00",622,12.39347
"2019-05-30 00:00:00",623,12.43125
"2019-05-31 00:00:00",624,12.4237
"2019-06-01 00:00:00",625,12.31793
"2019-06-02 00:00:00",626,12.38592
"2019-06-03 00:00:00",627,12.36997
"2019-06-04 00:00:00",628,12.41362
"2019-06-05 00:00:00",629,12.46651
"2019-06-06 00:00:00",630,12.29022
"2019-06-07 00:00:00",631,12.21384
"2019-06-08 00:00:00",632,12.36913
"2019-06-09 00:00:00",633,12.35318
"2019-06-10 00:00:00",634,12.39096
"2019-06-11 00:00:00",635,12.40942
"2019-06-12 00:00:00",636,12.25581
"2019-06-13 00:00:00",637,12.39515
"2019-06-14 00:00:00",638,12.37417
"2019-06-15 00:00:00",639,12.40355
"2019-06-16 00:00:00",640,12.3557
"2019-06-17 00:00:00",641,12.27092
"2019-06-18 00:00:00",642,12.26588
"2019-06-19 00:00:00",643,12.21719
"2019-06-20 00:00:00",644,12.28351
"2019-06-21 00:00:00",645,12.3003
"2019-06-22 00:00:00",646,12.25245
"2019-06-23 00:00:00",647,12.33555
"2019-06-24 00:00:00",648,12.29358
"2019-06-25 00:00:00",649,12.25916
"2019-06-26 00:00:00",650,11.85288
"2019-06-27 00:00:00",651,12.2046
"2019-07-02 00:00:00",656,12.27511
"2019-07-03 00:00:00",657,12.16095
"2019-07-04 00:00:00",658,12.11982
"2019-07-05 00:00:00",659,12.1811
"2019-07-06 00:00:00",660,12.18697
"2019-07-07 00:00:00",661,12.15004
"2019-07-08 00:00:00",662,12.14668
"2019-07-09 00:00:00",663,12.23062
"2019-07-10 00:00:00",664,12.22055
"2019-07-11 00:00:00",665,12.20208
"2019-07-12 00:00:00",666,12.13913
"2019-07-13 00:00:00",667,12.14584
"2019-07-14 00:00:00",668,12.18529
"2019-07-15 00:00:00",669,12.09883
"2019-07-16 00:00:00",670,12.21719
"2019-07-17 00:00:00",671,12.18613
"2019-07-18 00:00:00",672,12.1131
"2019-07-19 00:00:00",673,12.14332
"2019-07-20 00:00:00",674,12.22559
"2019-07-21 00:00:00",675,12.01741
"2019-07-22 00:00:00",676,12.02832
"2019-07-23 00:00:00",677,12.09379
"2019-07-24 00:00:00",678,12.15088
"2019-07-25 00:00:00",679,12.22894
"2019-07-26 00:00:00",680,12.20292
"2019-07-27 00:00:00",681,12.2046
"2019-07-28 00:00:00",682,12.19033
"2019-07-29 00:00:00",683,12.14416
"2019-07-30 00:00:00",684,12.10807
"2019-07-31 00:00:00",685,12.06777
"2019-08-01 00:00:00",686,12.12569
"2019-08-02 00:00:00",687,12.19285
"2019-08-03 00:00:00",688,12.19117
"2019-08-04 00:00:00",689,12.17102
"2019-08-05 00:00:00",690,12.22475
"2019-08-06 00:00:00",691,12.22223
"2019-08-07 00:00:00",692,12.22475
"2019-08-08 00:00:00",693,12.1215
"2019-08-09 00:00:00",694,12.22055
