AST_date_time_1,AST_date_time_2,AST_AirTF,AST_RH,AST_Rainfall_Tot,AST_VWC1,AST_VWC2,AST_VWC3,AST_VWC4
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Jan-2018,10:30:00,51.24457,96.8102,0,0,0,0,0
23-Jan-2018,10:45:00,52.51105,96.35842,0,0,0,0,0
23-Jan-2018,11:00:00,53.74181,95.93108,0,0,0,0,0
23-Jan-2018,11:15:00,53.58797,94.06905,0,0,0,0,0
23-Jan-2018,11:30:00,53.09347,93.02509,0.01,0,0,0,0
23-Jan-2018,11:45:00,53.75281,94.29494,0,0,0,0,0
23-Jan-2018,12:00:00,52.90116,94.38803,0,0,0,0,0
23-Jan-2018,12:15:00,51.69786,95.18016,0.01,0,0,0,0
23-Jan-2018,12:30:00,50.02753,93.48907,0,0,0,0,0
23-Jan-2018,12:45:00,49.88192,93.26318,0,0,0,0,0
23-Jan-2018,13:00:00,54.58797,84.97868,0.04,0,0,0,0
23-Jan-2018,13:15:00,62.84072,81.48509,0,0,0,0,0
23-Jan-2018,13:30:00,65.56599,79.1011,0,0,0,0,0
23-Jan-2018,13:45:00,71.63194,76.04095,0,0,0,0,0
23-Jan-2018,14:00:00,65.45612,72.91518,0,0,0,0,0
23-Jan-2018,14:15:00,62.56874,71.39352,0,0,0,0,0
23-Jan-2018,14:30:00,59.88467,70.58918,0,0,0,0,0
23-Jan-2018,14:45:00,61.04951,66.54919,0,0,0,0,0
23-Jan-2018,15:00:00,62.06051,64.58795,0,0,0,0,0
23-Jan-2018,15:15:00,60.91489,62.37183,0,0,0,0,0
23-Jan-2018,15:30:00,54.01654,61.54155,0,0,0,0,0
23-Jan-2018,15:45:00,54.97259,61.82238,0,0,0,0,0
23-Jan-2018,16:00:00,53.40391,66.68197,0,0,0,0,0
23-Jan-2018,16:15:00,52.40115,70.36787,0,0,0,0,0
23-Jan-2018,16:30:00,52.11544,70.63191,0,0,0,0,0
23-Jan-2018,16:45:00,50.09346,69.24608,0.05,0,0,0,0
23-Jan-2018,17:00:00,50.7528,57.86023,0,0,0,0,0
23-Jan-2018,17:15:00,49.11544,55.93105,0,0,0,0,0
23-Jan-2018,17:30:00,53.64292,59.67342,0,0,0,0,0
23-Jan-2018,17:45:00,53.49182,55.87611,0,0,0,0,0
23-Jan-2018,18:00:00,53.22533,53.73172,0,0,0,0,0
23-Jan-2018,18:15:00,52.87369,55.13129,0,0,0,0,0
23-Jan-2018,18:30:00,53.11544,53.8294,0,0,0,0,0
23-Jan-2018,18:45:00,53.15939,51.70028,0,0,0,0,0
23-Jan-2018,19:00:00,52.74181,52.93654,0,0,0,0,0
23-Jan-2018,19:15:00,52.4561,49.40174,0,0,0,0,0
23-Jan-2018,19:30:00,51.87368,47.93349,0,0,0,0,0
23-Jan-2018,19:45:00,51.11544,47.90144,0,0,0,0,0
23-Jan-2018,20:00:00,49.77478,45.01987,0,0,0,0,0
23-Jan-2018,20:15:00,49.26929,43.95454,0,0,0,0,0
